passage,testament
"1CH 18:7","ot"
"1CH 18:8","ot"
"1CH 18:9","ot"
"1CH 19:1","ot"
"1CH 19:10","ot"
"1CH 19:11","ot"
"1CH 19:14","ot"
"1CH 19:15","ot"
"1CH 19:16","ot"
"1CH 19:17","ot"
"1CH 19:18","ot"
"1CH 19:19","ot"
"1CH 19:2","ot"
"1CH 19:3","ot"
"1CH 19:4","ot"
"1CH 19:5","ot"
"1CH 19:6","ot"
"1CH 19:8","ot"
"1CH 2:1","ot"
"1CH 2:10","ot"
"1CH 2:11","ot"
"1CH 2:12","ot"
"1CH 2:13","ot"
"1CH 2:14","ot"
"1CH 2:15","ot"
"1CH 2:16","ot"
"1CH 2:17","ot"
"1CH 2:18","ot"
"1CH 2:19","ot"
"1CH 2:2","ot"
"1CH 2:20","ot"
"1CH 2:21","ot"
"1CH 2:22","ot"
"1CH 2:23","ot"
"1CH 2:24","ot"
"1CH 2:25","ot"
"1CH 2:26","ot"
"1CH 2:27","ot"
"1CH 2:28","ot"
"1CH 2:29","ot"
"1CH 2:3","ot"
"1CH 2:30","ot"
"1CH 2:31","ot"
"1CH 2:32","ot"
"1CH 2:33","ot"
"1CH 2:34","ot"
"1CH 2:35","ot"
"1CH 2:36","ot"
"1CH 2:37","ot"
"1CH 2:38","ot"
"1CH 2:39","ot"
"1CH 2:4","ot"
"1CH 2:40","ot"
"1CH 2:41","ot"
"1CH 2:42","ot"
"1CH 2:43","ot"
"1CH 2:44","ot"
"1CH 2:45","ot"
"1CH 2:46","ot"
"1CH 2:47","ot"
"1CH 2:48","ot"
"1CH 2:49","ot"
"1CH 2:5","ot"
"1CH 2:50","ot"
"1CH 2:51","ot"
"1CH 2:52","ot"
"1CH 2:54","ot"
"1CH 2:55","ot"
"1CH 2:6","ot"
"1CH 2:7","ot"
"1CH 2:8","ot"
"1CH 2:9","ot"
"1CH 20:1","ot"
"1CH 20:2","ot"
"1CH 20:3","ot"
"1CH 20:4","ot"
"1CH 20:5","ot"
"1CH 20:7","ot"
"1CH 20:8","ot"
"1CH 21:1","ot"
"1CH 21:10","ot"
"1CH 21:11","ot"
"1CH 21:12","ot"
"1CH 21:13","ot"
"1CH 21:14","ot"
"1CH 21:15","ot"
"1CH 21:16","ot"
"1CH 21:17","ot"
"1CH 21:18","ot"
"1CH 21:19","ot"
"1CH 21:2","ot"
"1CH 21:20","ot"
"1CH 21:21","ot"
"1CH 21:22","ot"
"1CH 21:23","ot"
"1CH 21:24","ot"
"1CH 21:25","ot"
"1CH 21:26","ot"
"1CH 21:28","ot"
"1CH 21:29","ot"
"1CH 21:3","ot"
"1CH 21:30","ot"
"1CH 21:4","ot"
"1CH 21:5","ot"
"1CH 21:6","ot"
"1CH 21:7","ot"
"1CH 21:8","ot"
"1CH 21:9","ot"
"1CH 22:1","ot"
"1CH 22:10","ot"
"1CH 22:12","ot"
"1CH 22:13","ot"
"1CH 22:17","ot"
"1CH 22:2","ot"
"1CH 22:3","ot"
"1CH 22:4","ot"
"1CH 22:5","ot"
"1CH 22:6","ot"
"1CH 22:7","ot"
"1CH 22:9","ot"
"1CH 23:1","ot"
"1CH 23:10","ot"
"1CH 23:11","ot"
"1CH 23:12","ot"
"1CH 23:13","ot"
"1CH 23:14","ot"
"1CH 23:15","ot"
"1CH 23:16","ot"
"1CH 23:17","ot"
"1CH 23:18","ot"
"1CH 23:19","ot"
"1CH 23:2","ot"
"1CH 23:20","ot"
"1CH 23:21","ot"
"1CH 23:22","ot"
"1CH 23:23","ot"
"1CH 23:24","ot"
"1CH 23:25","ot"
"1CH 23:26","ot"
"1CH 23:27","ot"
"1CH 23:28","ot"
"1CH 23:3","ot"
"1CH 23:32","ot"
"1CH 23:6","ot"
"1CH 23:7","ot"
"1CH 23:8","ot"
"1CH 23:9","ot"
"1CH 24:1","ot"
"1CH 24:10","ot"
"1CH 24:11","ot"
"1CH 24:12","ot"
"1CH 24:13","ot"
"1CH 24:14","ot"
"1CH 24:15","ot"
"1CH 24:16","ot"
"1CH 24:17","ot"
"1CH 24:18","ot"
"1CH 24:19","ot"
"1CH 24:2","ot"
"1CH 24:20","ot"
"1CH 24:21","ot"
"1CH 24:22","ot"
"1CH 24:23","ot"
"1CH 24:24","ot"
"1CH 24:25","ot"
"1CH 24:26","ot"
"1CH 24:27","ot"
"1CH 24:28","ot"
"1CH 24:29","ot"
"1CH 24:3","ot"
"1CH 24:30","ot"
"1CH 24:31","ot"
"1CH 24:4","ot"
"1CH 24:5","ot"
"1CH 24:6","ot"
"1CH 24:7","ot"
"1CH 24:8","ot"
"1CH 24:9","ot"
"1CH 25:1","ot"
"1CH 25:10","ot"
"1CH 25:11","ot"
"1CH 25:12","ot"
"1CH 25:13","ot"
"1CH 25:14","ot"
"1CH 25:15","ot"
"1CH 25:16","ot"
"1CH 25:17","ot"
"1CH 25:18","ot"
"1CH 25:19","ot"
"1CH 25:2","ot"
"1CH 25:20","ot"
"1CH 25:21","ot"
"1CH 25:22","ot"
"1CH 25:23","ot"
"1CH 25:24","ot"
"1CH 25:25","ot"
"1CH 25:26","ot"
"1CH 25:27","ot"
"1CH 25:28","ot"
"1CH 25:29","ot"
"1CH 25:3","ot"
"1CH 25:30","ot"
"1CH 25:31","ot"
"1CH 25:4","ot"
"1CH 25:5","ot"
"1CH 25:6","ot"
"1CH 25:9","ot"
"1CH 26:1","ot"
"1CH 26:10","ot"
"1CH 26:11","ot"
"1CH 26:14","ot"
"1CH 26:15","ot"
"1CH 26:16","ot"
"1CH 26:17","ot"
"1CH 26:19","ot"
"1CH 26:2","ot"
"1CH 26:20","ot"
"1CH 26:21","ot"
"1CH 26:22","ot"
"1CH 26:23","ot"
"1CH 26:24","ot"
"1CH 26:25","ot"
"1CH 26:26","ot"
"1CH 26:28","ot"
"1CH 26:29","ot"
"1CH 26:3","ot"
"1CH 26:30","ot"
"1CH 26:31","ot"
"1CH 26:32","ot"
"1CH 26:4","ot"
"1CH 26:5","ot"
"1CH 26:6","ot"
"1CH 26:7","ot"
"1CH 26:8","ot"
"1CH 26:9","ot"
"1CH 27:1","ot"
"1CH 27:10","ot"
"1CH 27:11","ot"
"1CH 27:12","ot"
"1CH 27:13","ot"
"1CH 27:14","ot"
"1CH 27:15","ot"
"1CH 27:16","ot"
"1CH 27:17","ot"
"1CH 27:18","ot"
"1CH 27:19","ot"
"1CH 27:2","ot"
"1CH 27:20","ot"
"1CH 27:21","ot"
"1CH 27:22","ot"
"1CH 27:23","ot"
"1CH 27:24","ot"
"1CH 27:25","ot"
"1CH 27:26","ot"
"1CH 27:27","ot"
"1CH 27:28","ot"
"1CH 27:29","ot"
"1CH 27:3","ot"
"1CH 27:30","ot"
"1CH 27:31","ot"
"1CH 27:32","ot"
"1CH 27:33","ot"
"1CH 27:34","ot"
"1CH 27:4","ot"
"1CH 27:5","ot"
"1CH 27:6","ot"
"1CH 27:7","ot"
"1CH 27:8","ot"
"1CH 27:9","ot"
"1CH 28:1","ot"
"1CH 28:11","ot"
"1CH 28:13","ot"
"1CH 28:2","ot"
"1CH 28:20","ot"
"1CH 28:21","ot"
"1CH 28:4","ot"
"1CH 28:5","ot"
"1CH 28:6","ot"
"1CH 28:8","ot"
"1CH 28:9","ot"
"1CH 29:1","ot"
"1CH 29:10","ot"
"1CH 29:18","ot"
"1CH 29:19","ot"
"1CH 29:20","ot"
"1CH 29:21","ot"
"1CH 29:22","ot"
"1CH 29:23","ot"
"1CH 29:24","ot"
"1CH 29:25","ot"
"1CH 29:26","ot"
"1CH 29:27","ot"
"1CH 29:28","ot"
"1CH 29:29","ot"
"1CH 29:30","ot"
"1CH 29:6","ot"
"1CH 29:8","ot"
"1CH 29:9","ot"
"1CH 3:1","ot"
"1CH 3:10","ot"
"1CH 3:11","ot"
"1CH 3:12","ot"
"1CH 3:13","ot"
"1CH 3:14","ot"
"1CH 3:15","ot"
"1CH 3:16","ot"
"1CH 3:17","ot"
"1CH 3:18","ot"
"1CH 3:19","ot"
"1CH 3:2","ot"
"1CH 3:20","ot"
"1CH 3:21","ot"
"1CH 3:22","ot"
"1CH 3:23","ot"
"1CH 3:24","ot"
"1CH 3:3","ot"
"1CH 3:5","ot"
"1CH 3:6","ot"
"1CH 3:7","ot"
"1CH 3:8","ot"
"1CH 3:9","ot"
"1CH 4:1","ot"
