passage,testament
"2KI 14:29","ot"
"2KI 14:3","ot"
"2KI 14:6","ot"
"2KI 14:8","ot"
"2KI 14:9","ot"
"2KI 15:1","ot"
"2KI 15:10","ot"
"2KI 15:11","ot"
"2KI 15:12","ot"
"2KI 15:13","ot"
"2KI 15:14","ot"
"2KI 15:15","ot"
"2KI 15:16","ot"
"2KI 15:17","ot"
"2KI 15:18","ot"
"2KI 15:19","ot"
"2KI 15:2","ot"
"2KI 15:20","ot"
"2KI 15:21","ot"
"2KI 15:22","ot"
"2KI 15:23","ot"
"2KI 15:24","ot"
"2KI 15:25","ot"
"2KI 15:26","ot"
"2KI 15:27","ot"
"2KI 15:28","ot"
"2KI 15:29","ot"
"2KI 15:3","ot"
"2KI 15:30","ot"
"2KI 15:31","ot"
"2KI 15:32","ot"
"2KI 15:33","ot"
"2KI 15:34","ot"
"2KI 15:36","ot"
"2KI 15:37","ot"
"2KI 15:38","ot"
"2KI 15:5","ot"
"2KI 15:6","ot"
"2KI 15:7","ot"
"2KI 15:8","ot"
"2KI 15:9","ot"
"2KI 16:1","ot"
"2KI 16:10","ot"
"2KI 16:11","ot"
"2KI 16:15","ot"
"2KI 16:16","ot"
"2KI 16:17","ot"
"2KI 16:19","ot"
"2KI 16:2","ot"
"2KI 16:20","ot"
"2KI 16:3","ot"
"2KI 16:5","ot"
"2KI 16:6","ot"
"2KI 16:7","ot"
"2KI 16:8","ot"
"2KI 16:9","ot"
"2KI 17:1","ot"
"2KI 17:13","ot"
"2KI 17:18","ot"
"2KI 17:19","ot"
"2KI 17:2","ot"
"2KI 17:20","ot"
"2KI 17:21","ot"
"2KI 17:22","ot"
"2KI 17:23","ot"
"2KI 17:24","ot"
"2KI 17:3","ot"
"2KI 17:34","ot"
"2KI 17:4","ot"
"2KI 17:6","ot"
"2KI 17:7","ot"
"2KI 17:8","ot"
"2KI 17:9","ot"
"2KI 18:1","ot"
"2KI 18:10","ot"
"2KI 18:11","ot"
"2KI 18:12","ot"
"2KI 18:13","ot"
"2KI 18:14","ot"
"2KI 18:15","ot"
"2KI 18:16","ot"
"2KI 18:17","ot"
"2KI 18:18","ot"
"2KI 18:19","ot"
"2KI 18:2","ot"
"2KI 18:22","ot"
"2KI 18:26","ot"
"2KI 18:29","ot"
"2KI 18:3","ot"
"2KI 18:30","ot"
"2KI 18:31","ot"
"2KI 18:32","ot"
"2KI 18:37","ot"
"2KI 18:4","ot"
"2KI 18:5","ot"
"2KI 18:6","ot"
"2KI 18:9","ot"
"2KI 19:1","ot"
"2KI 19:10","ot"
"2KI 19:14","ot"
"2KI 19:15","ot"
"2KI 19:16","ot"
"2KI 19:2","ot"
"2KI 19:20","ot"
"2KI 19:22","ot"
"2KI 19:3","ot"
"2KI 19:30","ot"
"2KI 19:34","ot"
"2KI 19:36","ot"
"2KI 19:37","ot"
"2KI 19:5","ot"
"2KI 19:6","ot"
"2KI 19:9","ot"
"2KI 2:1","ot"
"2KI 2:11","ot"
"2KI 2:12","ot"
"2KI 2:13","ot"
"2KI 2:14","ot"
"2KI 2:15","ot"
"2KI 2:19","ot"
"2KI 2:2","ot"
"2KI 2:22","ot"
"2KI 2:3","ot"
"2KI 2:4","ot"
"2KI 2:5","ot"
"2KI 2:6","ot"
"2KI 2:8","ot"
"2KI 2:9","ot"
"2KI 20:1","ot"
"2KI 20:10","ot"
"2KI 20:11","ot"
"2KI 20:12","ot"
"2KI 20:13","ot"
"2KI 20:14","ot"
"2KI 20:15","ot"
"2KI 20:16","ot"
"2KI 20:19","ot"
"2KI 20:20","ot"
"2KI 20:21","ot"
"2KI 20:3","ot"
"2KI 20:4","ot"
"2KI 20:5","ot"
"2KI 20:6","ot"
"2KI 20:7","ot"
"2KI 20:8","ot"
"2KI 20:9","ot"
"2KI 21:1","ot"
"2KI 21:11","ot"
"2KI 21:12","ot"
"2KI 21:13","ot"
"2KI 21:16","ot"
"2KI 21:17","ot"
"2KI 21:18","ot"
"2KI 21:19","ot"
"2KI 21:2","ot"
"2KI 21:20","ot"
"2KI 21:23","ot"
"2KI 21:24","ot"
"2KI 21:25","ot"
"2KI 21:26","ot"
"2KI 21:3","ot"
"2KI 21:7","ot"
"2KI 21:8","ot"
"2KI 21:9","ot"
"2KI 22:1","ot"
"2KI 22:10","ot"
"2KI 22:12","ot"
"2KI 22:13","ot"
"2KI 22:14","ot"
"2KI 22:15","ot"
"2KI 22:16","ot"
"2KI 22:18","ot"
"2KI 22:2","ot"
"2KI 22:3","ot"
"2KI 22:4","ot"
"2KI 22:8","ot"
"2KI 22:9","ot"
"2KI 23:1","ot"
"2KI 23:11","ot"
"2KI 23:12","ot"
"2KI 23:13","ot"
"2KI 23:15","ot"
"2KI 23:16","ot"
"2KI 23:17","ot"
"2KI 23:19","ot"
"2KI 23:2","ot"
"2KI 23:22","ot"
"2KI 23:23","ot"
"2KI 23:24","ot"
"2KI 23:25","ot"
"2KI 23:26","ot"
"2KI 23:27","ot"
"2KI 23:28","ot"
"2KI 23:29","ot"
"2KI 23:30","ot"
"2KI 23:31","ot"
"2KI 23:33","ot"
"2KI 23:34","ot"
"2KI 23:35","ot"
"2KI 23:36","ot"
"2KI 23:4","ot"
"2KI 23:5","ot"
"2KI 23:8","ot"
"2KI 24:1","ot"
"2KI 24:10","ot"
"2KI 24:11","ot"
"2KI 24:12","ot"
"2KI 24:13","ot"
"2KI 24:15","ot"
"2KI 24:17","ot"
"2KI 24:18","ot"
"2KI 24:19","ot"
"2KI 24:2","ot"
"2KI 24:20","ot"
"2KI 24:3","ot"
"2KI 24:5","ot"
"2KI 24:6","ot"
"2KI 24:8","ot"
"2KI 25:1","ot"
"2KI 25:11","ot"
"2KI 25:16","ot"
"2KI 25:18","ot"
"2KI 25:2","ot"
"2KI 25:20","ot"
"2KI 25:21","ot"
"2KI 25:22","ot"
"2KI 25:23","ot"
"2KI 25:24","ot"
"2KI 25:25","ot"
"2KI 25:27","ot"
"2KI 25:7","ot"
"2KI 25:8","ot"
"2KI 3:1","ot"
"2KI 3:10","ot"
"2KI 3:11","ot"
"2KI 3:12","ot"
"2KI 3:13","ot"
"2KI 3:14","ot"
"2KI 3:24","ot"
"2KI 3:27","ot"
"2KI 3:3","ot"
"2KI 3:4","ot"
"2KI 3:5","ot"
"2KI 3:6","ot"
"2KI 3:7","ot"
"2KI 3:9","ot"
"2KI 4:1","ot"
"2KI 4:12","ot"
"2KI 4:14","ot"
"2KI 4:17","ot"
"2KI 4:2","ot"
"2KI 4:25","ot"
"2KI 4:27","ot"
"2KI 4:29","ot"
"2KI 4:31","ot"
"2KI 4:32","ot"
"2KI 4:36","ot"
"2KI 4:38","ot"
"2KI 4:8","ot"
"2KI 5:1","ot"
"2KI 5:10","ot"
"2KI 5:11","ot"
"2KI 5:12","ot"
"2KI 5:15","ot"
"2KI 5:17","ot"
"2KI 5:2","ot"
"2KI 5:20","ot"
"2KI 5:21","ot"
"2KI 5:22","ot"
"2KI 5:23","ot"
"2KI 5:25","ot"
"2KI 5:27","ot"
"2KI 5:4","ot"
"2KI 5:5","ot"
"2KI 5:6","ot"
"2KI 5:7","ot"
"2KI 5:8","ot"
"2KI 5:9","ot"
"2KI 6:1","ot"
"2KI 6:10","ot"
"2KI 6:11","ot"
"2KI 6:12","ot"
"2KI 6:17","ot"
"2KI 6:18","ot"
"2KI 6:19","ot"
"2KI 6:20","ot"
"2KI 6:21","ot"
"2KI 6:23","ot"
"2KI 6:24","ot"
"2KI 6:26","ot"
"2KI 6:31","ot"
"2KI 6:32","ot"
"2KI 6:8","ot"
"2KI 6:9","ot"
"2KI 7:1","ot"
"2KI 7:13","ot"
"2KI 7:6","ot"
"2KI 8:1","ot"
"2KI 8:10","ot"
"2KI 8:12","ot"
"2KI 8:13","ot"
"2KI 8:14","ot"
"2KI 8:15","ot"
"2KI 8:16","ot"
"2KI 8:18","ot"
"2KI 8:19","ot"
"2KI 8:20","ot"
"2KI 8:21","ot"
"2KI 8:22","ot"
"2KI 8:23","ot"
"2KI 8:24","ot"
"2KI 8:25","ot"
"2KI 8:26","ot"
"2KI 8:27","ot"
"2KI 8:28","ot"
"2KI 8:29","ot"
"2KI 8:4","ot"
"2KI 8:5","ot"
"2KI 8:7","ot"
"2KI 8:8","ot"
"2KI 8:9","ot"
"2KI 9:1","ot"
"2KI 9:10","ot"
"2KI 9:11","ot"
"2KI 9:12","ot"
"2KI 9:13","ot"
"2KI 9:14","ot"
"2KI 9:15","ot"
"2KI 9:16","ot"
"2KI 9:17","ot"
"2KI 9:18","ot"
"2KI 9:19","ot"
"2KI 9:2","ot"
"2KI 9:20","ot"
"2KI 9:21","ot"
"2KI 9:22","ot"
"2KI 9:23","ot"
"2KI 9:24","ot"
"2KI 9:25","ot"
"2KI 9:26","ot"
"2KI 9:27","ot"
"2KI 9:28","ot"
"2KI 9:29","ot"
"2KI 9:3","ot"
"2KI 9:30","ot"
"2KI 9:31","ot"
"2KI 9:36","ot"
"2KI 9:37","ot"
"2KI 9:5","ot"
"2KI 9:6","ot"
"2KI 9:7","ot"
"2KI 9:8","ot"
"2KI 9:9","ot"
"2PE 1:1","nt"
"2PE 1:11","nt"
"2PE 1:14","nt"
"2PE 1:16","nt"
"2PE 1:2","nt"
"2PE 1:8","nt"
"2PE 2:15","nt"
"2PE 2:20","nt"
"2PE 2:5","nt"
"2PE 2:7","nt"
"2PE 3:15","nt"
"2PE 3:18","nt"
"2SA 1:1","ot"
"2SA 1:11","ot"
"2SA 1:12","ot"
"2SA 1:13","ot"
"2SA 1:14","ot"
"2SA 1:15","ot"
"2SA 1:16","ot"
"2SA 1:17","ot"
"2SA 1:18","ot"
"2SA 1:19","ot"
"2SA 1:2","ot"
"2SA 1:21","ot"
"2SA 1:22","ot"
"2SA 1:23","ot"
"2SA 1:24","ot"
"2SA 1:25","ot"
"2SA 1:26","ot"
"2SA 1:3","ot"
"2SA 1:4","ot"
"2SA 1:5","ot"
"2SA 1:6","ot"
"2SA 10:1","ot"
"2SA 10:10","ot"
"2SA 10:13","ot"
"2SA 10:14","ot"
"2SA 10:15","ot"
"2SA 10:16","ot"
"2SA 10:17","ot"
"2SA 10:18","ot"
"2SA 10:19","ot"
"2SA 10:2","ot"
"2SA 10:3","ot"
"2SA 10:4","ot"
"2SA 10:5","ot"
"2SA 10:6","ot"
"2SA 10:7","ot"
"2SA 10:9","ot"
"2SA 11:1","ot"
"2SA 11:10","ot"
"2SA 11:11","ot"
"2SA 11:12","ot"
"2SA 11:13","ot"
"2SA 11:14","ot"
"2SA 11:15","ot"
"2SA 11:16","ot"
"2SA 11:17","ot"
"2SA 11:18","ot"
"2SA 11:2","ot"
"2SA 11:21","ot"
"2SA 11:22","ot"
"2SA 11:23","ot"
"2SA 11:24","ot"
"2SA 11:25","ot"
"2SA 11:26","ot"
"2SA 11:27","ot"
"2SA 11:3","ot"
"2SA 11:4","ot"
"2SA 11:5","ot"
"2SA 11:6","ot"
"2SA 11:7","ot"
"2SA 11:8","ot"
"2SA 11:9","ot"
"2SA 12:1","ot"
"2SA 12:10","ot"
"2SA 12:12","ot"
"2SA 12:13","ot"
"2SA 12:15","ot"
"2SA 12:16","ot"
"2SA 12:18","ot"
"2SA 12:19","ot"
"2SA 12:20","ot"
"2SA 12:24","ot"
"2SA 12:25","ot"
"2SA 12:26","ot"
"2SA 12:27","ot"
"2SA 12:29","ot"
"2SA 12:30","ot"
"2SA 12:31","ot"
"2SA 12:5","ot"
"2SA 12:7","ot"
"2SA 12:8","ot"
"2SA 12:9","ot"
"2SA 13:1","ot"
"2SA 13:10","ot"
"2SA 13:12","ot"
"2SA 13:13","ot"
"2SA 13:15","ot"
"2SA 13:19","ot"
"2SA 13:2","ot"
"2SA 13:20","ot"
"2SA 13:21","ot"
"2SA 13:22","ot"
"2SA 13:23","ot"
"2SA 13:24","ot"
"2SA 13:25","ot"
"2SA 13:26","ot"
"2SA 13:27","ot"
"2SA 13:28","ot"
"2SA 13:29","ot"
"2SA 13:3","ot"
"2SA 13:30","ot"
"2SA 13:32","ot"
"2SA 13:33","ot"
"2SA 13:34","ot"
"2SA 13:35","ot"
"2SA 13:37","ot"
"2SA 13:38","ot"
"2SA 13:39","ot"
"2SA 13:4","ot"
"2SA 13:5","ot"
"2SA 13:6","ot"
"2SA 13:7","ot"
"2SA 13:8","ot"
"2SA 13:9","ot"
"2SA 14:1","ot"
"2SA 14:19","ot"
"2SA 14:2","ot"
"2SA 14:20","ot"
"2SA 14:21","ot"
"2SA 14:22","ot"
"2SA 14:23","ot"
"2SA 14:24","ot"
"2SA 14:25","ot"
"2SA 14:27","ot"
"2SA 14:28","ot"
"2SA 14:29","ot"
"2SA 14:3","ot"
"2SA 14:30","ot"
"2SA 14:31","ot"
"2SA 14:32","ot"
"2SA 14:33","ot"
"2SA 15:1","ot"
"2SA 15:10","ot"
"2SA 15:11","ot"
"2SA 15:12","ot"
"2SA 15:13","ot"
"2SA 15:14","ot"
"2SA 15:19","ot"
"2SA 15:2","ot"
"2SA 15:21","ot"
"2SA 15:22","ot"
"2SA 15:24","ot"
"2SA 15:25","ot"
"2SA 15:27","ot"
"2SA 15:29","ot"
"2SA 15:3","ot"
"2SA 15:30","ot"
"2SA 15:31","ot"
"2SA 15:32","ot"
"2SA 15:33","ot"
"2SA 15:34","ot"
"2SA 15:35","ot"
"2SA 15:36","ot"
"2SA 15:37","ot"
"2SA 15:4","ot"
"2SA 15:6","ot"
"2SA 15:7","ot"
"2SA 16:1","ot"
"2SA 16:10","ot"
"2SA 16:11","ot"
"2SA 16:13","ot"
"2SA 16:15","ot"
"2SA 16:16","ot"
"2SA 16:17","ot"
"2SA 16:18","ot"
"2SA 16:2","ot"
"2SA 16:20","ot"
"2SA 16:21","ot"
"2SA 16:22","ot"
"2SA 16:23","ot"
"2SA 16:3","ot"
"2SA 16:4","ot"
"2SA 16:5","ot"
"2SA 16:6","ot"
"2SA 16:7","ot"
"2SA 16:8","ot"
"2SA 16:9","ot"
"2SA 17:1","ot"
"2SA 17:10","ot"
"2SA 17:11","ot"
"2SA 17:13","ot"
"2SA 17:14","ot"
"2SA 17:15","ot"
"2SA 17:16","ot"
"2SA 17:17","ot"
"2SA 17:18","ot"
"2SA 17:20","ot"
"2SA 17:21","ot"
"2SA 17:22","ot"
"2SA 17:23","ot"
"2SA 17:24","ot"
"2SA 17:25","ot"
"2SA 17:26","ot"
"2SA 17:27","ot"
"2SA 17:29","ot"
"2SA 17:4","ot"
"2SA 17:5","ot"
"2SA 17:6","ot"
"2SA 17:7","ot"
"2SA 17:8","ot"
"2SA 17:9","ot"
"2SA 18:1","ot"
"2SA 18:10","ot"
"2SA 18:11","ot"
"2SA 18:12","ot"
"2SA 18:14","ot"
"2SA 18:15","ot"
"2SA 18:16","ot"
"2SA 18:17","ot"
"2SA 18:18","ot"
"2SA 18:19","ot"
"2SA 18:2","ot"
"2SA 18:20","ot"
"2SA 18:21","ot"
"2SA 18:22","ot"
"2SA 18:23","ot"
"2SA 18:24","ot"
"2SA 18:27","ot"
"2SA 18:28","ot"
"2SA 18:29","ot"
"2SA 18:32","ot"
"2SA 18:33","ot"
"2SA 18:5","ot"
"2SA 18:6","ot"
"2SA 18:7","ot"
"2SA 18:9","ot"
"2SA 19:1","ot"
"2SA 19:10","ot"
"2SA 19:11","ot"
"2SA 19:13","ot"
"2SA 19:14","ot"
"2SA 19:15","ot"
"2SA 19:16","ot"
"2SA 19:17","ot"
"2SA 19:18","ot"
"2SA 19:20","ot"
"2SA 19:21","ot"
"2SA 19:22","ot"
"2SA 19:23","ot"
"2SA 19:24","ot"
"2SA 19:25","ot"
"2SA 19:29","ot"
"2SA 19:30","ot"
"2SA 19:31","ot"
"2SA 19:32","ot"
"2SA 19:33","ot"
"2SA 19:34","ot"
"2SA 19:37","ot"
"2SA 19:38","ot"
"2SA 19:39","ot"
"2SA 19:4","ot"
"2SA 19:40","ot"
"2SA 19:41","ot"
"2SA 19:42","ot"
"2SA 19:43","ot"
"2SA 19:5","ot"
"2SA 19:6","ot"
"2SA 19:8","ot"
"2SA 19:9","ot"
"2SA 2:1","ot"
"2SA 2:10","ot"
"2SA 2:11","ot"
"2SA 2:12","ot"
"2SA 2:13","ot"
"2SA 2:14","ot"
"2SA 2:15","ot"
"2SA 2:17","ot"
"2SA 2:18","ot"
"2SA 2:19","ot"
"2SA 2:2","ot"
"2SA 2:20","ot"
"2SA 2:21","ot"
"2SA 2:22","ot"
"2SA 2:23","ot"
"2SA 2:24","ot"
"2SA 2:25","ot"
"2SA 2:26","ot"
"2SA 2:27","ot"
"2SA 2:28","ot"
"2SA 2:29","ot"
"2SA 2:3","ot"
"2SA 2:30","ot"
"2SA 2:31","ot"
"2SA 2:32","ot"
"2SA 2:4","ot"
"2SA 2:5","ot"
"2SA 2:7","ot"
"2SA 2:8","ot"
"2SA 2:9","ot"
"2SA 20:1","ot"
"2SA 20:10","ot"
"2SA 20:11","ot"
"2SA 20:12","ot"
"2SA 20:13","ot"
"2SA 20:14","ot"
"2SA 20:15","ot"
"2SA 20:16","ot"
"2SA 20:17","ot"
"2SA 20:19","ot"
"2SA 20:2","ot"
"2SA 20:20","ot"
"2SA 20:21","ot"
"2SA 20:22","ot"
"2SA 20:23","ot"
"2SA 20:24","ot"
"2SA 20:25","ot"
"2SA 20:26","ot"
"2SA 20:3","ot"
"2SA 20:4","ot"
"2SA 20:5","ot"
"2SA 20:6","ot"
"2SA 20:7","ot"
"2SA 20:8","ot"
"2SA 20:9","ot"
"2SA 21:1","ot"
"2SA 21:10","ot"
"2SA 21:11","ot"
"2SA 21:12","ot"
"2SA 21:13","ot"
"2SA 21:14","ot"
"2SA 21:15","ot"
"2SA 21:16","ot"
"2SA 21:17","ot"
"2SA 21:18","ot"
"2SA 21:19","ot"
"2SA 21:2","ot"
"2SA 21:21","ot"
"2SA 21:22","ot"
"2SA 21:3","ot"
"2SA 21:4","ot"
"2SA 21:5","ot"
"2SA 21:6","ot"
"2SA 21:7","ot"
"2SA 21:8","ot"
"2SA 22:1","ot"
"2SA 22:51","ot"
"2SA 23:1","ot"
"2SA 23:11","ot"
"2SA 23:13","ot"
"2SA 23:14","ot"
"2SA 23:15","ot"
"2SA 23:16","ot"
"2SA 23:18","ot"
"2SA 23:20","ot"
"2SA 23:22","ot"
"2SA 23:23","ot"
"2SA 23:24","ot"
"2SA 23:25","ot"
"2SA 23:26","ot"
"2SA 23:27","ot"
"2SA 23:28","ot"
"2SA 23:29","ot"
"2SA 23:3","ot"
"2SA 23:30","ot"
"2SA 23:31","ot"
"2SA 23:32","ot"
"2SA 23:33","ot"
"2SA 23:34","ot"
"2SA 23:35","ot"
"2SA 23:36","ot"
"2SA 23:37","ot"
"2SA 23:38","ot"
"2SA 23:39","ot"
"2SA 23:8","ot"
"2SA 23:9","ot"
"2SA 24:1","ot"
"2SA 24:10","ot"
"2SA 24:11","ot"
"2SA 24:12","ot"
"2SA 24:13","ot"
"2SA 24:14","ot"
"2SA 24:15","ot"
"2SA 24:16","ot"
"2SA 24:17","ot"
"2SA 24:18","ot"
"2SA 24:19","ot"
"2SA 24:2","ot"
"2SA 24:20","ot"
"2SA 24:21","ot"
"2SA 24:22","ot"
"2SA 24:23","ot"
"2SA 24:24","ot"
"2SA 24:25","ot"
"2SA 24:3","ot"
"2SA 24:4","ot"
"2SA 24:5","ot"
"2SA 24:7","ot"
"2SA 24:9","ot"
"2SA 3:1","ot"
"2SA 3:10","ot"
"2SA 3:11","ot"
"2SA 3:12","ot"
"2SA 3:13","ot"
"2SA 3:14","ot"
"2SA 3:15","ot"
"2SA 3:16","ot"
"2SA 3:17","ot"
"2SA 3:18","ot"
"2SA 3:19","ot"
"2SA 3:2","ot"
"2SA 3:20","ot"
"2SA 3:21","ot"
"2SA 3:22","ot"
"2SA 3:23","ot"
"2SA 3:24","ot"
"2SA 3:25","ot"
"2SA 3:26","ot"
"2SA 3:27","ot"
"2SA 3:28","ot"
"2SA 3:29","ot"
"2SA 3:3","ot"
"2SA 3:30","ot"
"2SA 3:31","ot"
"2SA 3:32","ot"
"2SA 3:33","ot"
"2SA 3:35","ot"
"2SA 3:37","ot"
"2SA 3:38","ot"
"2SA 3:39","ot"
"2SA 3:4","ot"
"2SA 3:5","ot"
"2SA 3:6","ot"
"2SA 3:7","ot"
"2SA 3:8","ot"
"2SA 3:9","ot"
"2SA 4:1","ot"
"2SA 4:10","ot"
"2SA 4:12","ot"
"2SA 4:2","ot"
"2SA 4:4","ot"
"2SA 4:5","ot"
"2SA 4:6","ot"
"2SA 4:8","ot"
"2SA 4:9","ot"
"2SA 5:1","ot"
"2SA 5:10","ot"
"2SA 5:11","ot"
"2SA 5:12","ot"
"2SA 5:13","ot"
"2SA 5:14","ot"
"2SA 5:15","ot"
"2SA 5:16","ot"
"2SA 5:17","ot"
"2SA 5:19","ot"
"2SA 5:2","ot"
"2SA 5:20","ot"
"2SA 5:21","ot"
"2SA 5:23","ot"
"2SA 5:25","ot"
"2SA 5:3","ot"
"2SA 5:4","ot"
"2SA 5:5","ot"
"2SA 5:6","ot"
"2SA 5:7","ot"
"2SA 5:8","ot"
"2SA 5:9","ot"
"2SA 6:1","ot"
"2SA 6:10","ot"
"2SA 6:11","ot"
"2SA 6:12","ot"
"2SA 6:14","ot"
"2SA 6:15","ot"
"2SA 6:16","ot"
"2SA 6:17","ot"
"2SA 6:18","ot"
"2SA 6:19","ot"
"2SA 6:2","ot"
"2SA 6:20","ot"
"2SA 6:21","ot"
"2SA 6:23","ot"
"2SA 6:3","ot"
"2SA 6:4","ot"
"2SA 6:5","ot"
"2SA 6:6","ot"
"2SA 6:7","ot"
"2SA 6:8","ot"
"2SA 6:9","ot"
"2SA 7:10","ot"
"2SA 7:11","ot"
"2SA 7:15","ot"
"2SA 7:17","ot"
"2SA 7:18","ot"
"2SA 7:2","ot"
"2SA 7:20","ot"
"2SA 7:23","ot"
"2SA 7:24","ot"
"2SA 7:26","ot"
"2SA 7:27","ot"
"2SA 7:3","ot"
"2SA 7:4","ot"
"2SA 7:5","ot"
"2SA 7:6","ot"
"2SA 7:7","ot"
"2SA 7:8","ot"
"2SA 8:1","ot"
"2SA 8:10","ot"
"2SA 8:11","ot"
"2SA 8:12","ot"
"2SA 8:13","ot"
"2SA 8:14","ot"
"2SA 8:15","ot"
"2SA 8:16","ot"
"2SA 8:17","ot"
"2SA 8:18","ot"
"2SA 8:2","ot"
"2SA 8:3","ot"
"2SA 8:4","ot"
"2SA 8:5","ot"
"2SA 8:6","ot"
"2SA 8:7","ot"
"2SA 8:8","ot"
"2SA 8:9","ot"
"2SA 9:1","ot"
"2SA 9:10","ot"
"2SA 9:11","ot"
"2SA 9:12","ot"
"2SA 9:13","ot"
"2SA 9:2","ot"
"2SA 9:3","ot"
"2SA 9:4","ot"
"2SA 9:5","ot"
"2SA 9:6","ot"
"2SA 9:7","ot"
"2SA 9:9","ot"
"2TH 1:1","nt"
"2TH 1:12","nt"
"2TH 1:2","nt"
"2TH 1:7","nt"
"2TH 1:8","nt"
"2TH 2:1","nt"
"2TH 2:14","nt"
"2TH 2:16","nt"
"2TH 3:12","nt"
"2TH 3:17","nt"
"2TH 3:18","nt"
"2TH 3:5","nt"
"2TH 3:6","nt"
"2TI 1:1","nt"
"2TI 1:10","nt"
"2TI 1:13","nt"
"2TI 1:15","nt"
"2TI 1:16","nt"
"2TI 1:2","nt"
"2TI 1:5","nt"
"2TI 1:9","nt"
"2TI 2:1","nt"
"2TI 2:10","nt"
"2TI 2:17","nt"
"2TI 2:3","nt"
"2TI 2:8","nt"
"2TI 3:12","nt"
"2TI 3:15","nt"
"2TI 3:8","nt"
"2TI 4:1","nt"
"2TI 4:10","nt"
"2TI 4:11","nt"
"2TI 4:12","nt"
"2TI 4:13","nt"
"2TI 4:14","nt"
"2TI 4:19","nt"
"2TI 4:20","nt"
"2TI 4:21","nt"
"2TI 4:22","nt"
"3JN 1:1","nt"
"3JN 1:12","nt"
"3JN 1:9","nt"
"ACT 1:1","nt"
"ACT 1:11","nt"
"ACT 1:13","nt"
"ACT 1:14","nt"
"ACT 1:15","nt"
"ACT 1:16","nt"
"ACT 1:21","nt"
"ACT 1:22","nt"
"ACT 1:23","nt"
"ACT 1:25","nt"
"ACT 1:26","nt"
"ACT 1:5","nt"
"ACT 10:1","nt"
"ACT 10:13","nt"
"ACT 10:14","nt"
"ACT 10:17","nt"
"ACT 10:18","nt"
"ACT 10:19","nt"
"ACT 10:21","nt"
"ACT 10:22","nt"
"ACT 10:22-24","nt"
"ACT 10:23","nt"
"ACT 10:24","nt"
"ACT 10:25","nt"
"ACT 10:26","nt"
"ACT 10:3","nt"
"ACT 10:30","nt"
"ACT 10:31","nt"
"ACT 10:32","nt"
"ACT 10:34","nt"
"ACT 10:36","nt"
"ACT 10:37","nt"
"ACT 10:38","nt"
"ACT 10:44","nt"
"ACT 10:45","nt"
"ACT 10:46","nt"
"ACT 10:5","nt"
"ACT 10:6","nt"
"ACT 10:7","nt"
"ACT 10:9","nt"
"ACT 11:13","nt"
"ACT 11:16","nt"
"ACT 11:17","nt"
"ACT 11:19","nt"
"ACT 11:2","nt"
"ACT 11:20","nt"
"ACT 11:22","nt"
"ACT 11:25","nt"
"ACT 11:28","nt"
"ACT 11:30","nt"
"ACT 11:4","nt"
"ACT 11:7","nt"
"ACT 12:1","nt"
"ACT 12:1-2","nt"
"ACT 12:1-4","nt"
"ACT 12:11","nt"
"ACT 12:12","nt"
"ACT 12:13","nt"
"ACT 12:14","nt"
"ACT 12:16","nt"
"ACT 12:17","nt"
"ACT 12:18","nt"
"ACT 12:19","nt"
"ACT 12:2","nt"
"ACT 12:20","nt"
"ACT 12:21","nt"
"ACT 12:25","nt"
"ACT 12:3","nt"
"ACT 12:3-4","nt"
"ACT 12:5","nt"
"ACT 12:6","nt"
"ACT 12:7","nt"
"ACT 13:1","nt"
"ACT 13:13","nt"
"ACT 13:16","nt"
"ACT 13:2","nt"
"ACT 13:2-5","nt"
"ACT 13:20","nt"
"ACT 13:21","nt"
"ACT 13:22","nt"
"ACT 13:23","nt"
"ACT 13:24","nt"
"ACT 13:25","nt"
"ACT 13:26","nt"
"ACT 13:28","nt"
"ACT 13:33","nt"
"ACT 13:34","nt"
"ACT 13:36","nt"
"ACT 13:38","nt"
"ACT 13:39","nt"
"ACT 13:43","nt"
"ACT 13:45","nt"
"ACT 13:46","nt"
"ACT 13:5","nt"
"ACT 13:50","nt"
"ACT 13:6","nt"
"ACT 13:7","nt"
"ACT 13:7-8","nt"
"ACT 13:8","nt"
"ACT 13:9","nt"
"ACT 14:11","nt"
"ACT 14:12","nt"
"ACT 14:14","nt"
"ACT 14:19","nt"
"ACT 14:20","nt"
"ACT 14:9","nt"
"ACT 15:1","nt"
"ACT 15:11","nt"
"ACT 15:12","nt"
"ACT 15:13","nt"
"ACT 15:14","nt"
"ACT 15:16","nt"
"ACT 15:2","nt"
"ACT 15:21","nt"
"ACT 15:22","nt"
"ACT 15:25","nt"
"ACT 15:26","nt"
"ACT 15:27","nt"
"ACT 15:32","nt"
"ACT 15:34","nt"
"ACT 15:35","nt"
"ACT 15:36","nt"
"ACT 15:37","nt"
"ACT 15:38","nt"
"ACT 15:39","nt"
"ACT 15:40","nt"
"ACT 15:40-41","nt"
"ACT 15:5","nt"
"ACT 15:7","nt"
"ACT 16:1","nt"
"ACT 16:14","nt"
"ACT 16:14-15","nt"
"ACT 16:17","nt"
"ACT 16:18","nt"
"ACT 16:19","nt"
"ACT 16:25","nt"
"ACT 16:28","nt"
"ACT 16:29","nt"
"ACT 16:3","nt"
"ACT 16:31","nt"
"ACT 16:36","nt"
"ACT 16:37","nt"
"ACT 16:40","nt"
"ACT 16:7","nt"
