person_id,canonical_chinese,canonical_greek,latinized,sex,status,identity_group,testament,nt_ref_count,ot_ref_count,bible_ref_count
"person-002695","琐太","","Sotai","male","accepted","ot-idgrp-otc-2443","ot","0","2","2"
"person-002696","书亚","","Suah","male","accepted","ot-idgrp-otc-2444","ot","0","1","1"
"person-002697","稣西","","Susi","male","accepted","ot-idgrp-otc-2445","ot","0","1","1"
"person-002698","答巴俄","","Tabbaoth","male","accepted","ot-idgrp-otc-2446","ot","0","2","2"
"person-002699","他比勒","","Tabeal","male","accepted","ot-idgrp-otc-2447","ot","0","1","1"
"person-002700","他别","","Tabeel","male","accepted","ot-idgrp-otc-2448","ot","0","1","1"
"person-002701","他伯利们","","Tabrimmon","male","accepted","ot-idgrp-otc-2449","ot","0","1","1"
"person-002702","他罕","","Tahan","male","accepted","ot-idgrp-otc-2450","ot","0","1","1"
"person-002703","他罕","","Tahan","male","accepted","ot-idgrp-otc-2451","ot","0","1","1"
"person-002704","他辖","","Tahash","male","accepted","ot-idgrp-otc-2452","ot","0","1","1"
"person-002705","他哈","","Tahath","male","accepted","ot-idgrp-otc-2453","ot","0","2","2"
"person-002706","他哈","","Tahath","male","accepted","ot-idgrp-otc-2454","ot","0","1","1"
"person-002707","他哈","","Tahath","male","accepted","ot-idgrp-otc-2455","ot","0","1","1"
"person-002708","答比匿","","Tahpenes","female","accepted","ot-idgrp-otc-2456","ot","0","2","2"
"person-002709","达买","","Talmai","male","accepted","ot-idgrp-otc-2457","ot","0","3","3"
"person-002710","挞买","","Talmai","male","accepted","ot-idgrp-otc-2458","ot","0","3","3"
"person-002711","达们","","Talmon","male","accepted","ot-idgrp-otc-2459","ot","0","5","5"
"person-002712","她玛","","Tamar","female","accepted","ot-idgrp-otc-2460","ot","0","13","13"
"person-002713","她玛","","Tamar","female","accepted","ot-idgrp-otc-2461","ot","0","1","1"
"person-002714","单户篾","","Tanhumeth","male","accepted","ot-idgrp-otc-2463","ot","0","2","2"
"person-002715","她法","","Taphath","female","accepted","ot-idgrp-otc-2464","ot","0","1","1"
"person-002716","他普亚","","Tappuah","male","accepted","ot-idgrp-otc-2465","ot","0","1","1"
"person-002717","他利亚","","Tarea","male","accepted","ot-idgrp-otc-2466","ot","0","2","2"
"person-002718","他施","","Tarshish","male","accepted","ot-idgrp-otc-2467","ot","0","1","1"
"person-002719","他施斯","","Tarshish","male","accepted","ot-idgrp-otc-2468","ot","0","1","1"
"person-002720","他施","","Tarshish","male","accepted","ot-idgrp-otc-2469","ot","0","2","2"
"person-002721","达乃","","Tattenai","male","accepted","ot-idgrp-otc-2471","ot","0","4","4"
"person-002722","提八","","Tebah","male","accepted","ot-idgrp-otc-2472","ot","0","1","1"
"person-002723","底巴利雅","","Tebaliah","male","accepted","ot-idgrp-otc-2473","ot","0","1","1"
"person-002724","提欣拿","","Tehinnah","male","accepted","ot-idgrp-otc-2474","ot","0","1","1"
"person-002725","他拉","","Telah","male","accepted","ot-idgrp-otc-2475","ot","0","1","1"
"person-002726","提联","","Telem","male","accepted","ot-idgrp-otc-2476","ot","0","1","1"
"person-002727","提玛","","Tema","male","accepted","ot-idgrp-otc-2477","ot","0","2","2"
"person-002728","答玛","","Temah","male","accepted","ot-idgrp-otc-2478","ot","0","2","2"
"person-002729","提幔","","Teman","male","accepted","ot-idgrp-otc-2479","ot","0","13","13"
"person-002730","提米尼","","Temeni","male","accepted","ot-idgrp-otc-2480","ot","0","1","1"
"person-002731","提列","","Teresh","male","accepted","ot-idgrp-otc-2482","ot","0","2","2"
"person-002732","提比尼","","Tibni","male","accepted","ot-idgrp-otc-2483","ot","0","2","2"
"person-002733","提达","","Tidal","male","accepted","ot-idgrp-otc-2484","ot","0","2","2"
"person-002734","提革拉·毗列色","","Tiglath-pileser","male","accepted","ot-idgrp-otc-2485","ot","0","9","9"
"person-002735","特瓦","","Tikvah","male","accepted","ot-idgrp-otc-2486","ot","0","2","2"
"person-002736","特瓦","","Tikvah","male","accepted","ot-idgrp-otc-2487","ot","0","1","1"
"person-002737","提伦","","Tilon","male","accepted","ot-idgrp-otc-2488","ot","0","1","1"
"person-002738","亭纳","","Timna","female","accepted","ot-idgrp-otc-2489","ot","0","6","6"
"person-002739","提拉","","Tiras","male","accepted","ot-idgrp-otc-2490","ot","0","2","2"
"person-002740","特哈加","","Tirhakah","male","accepted","ot-idgrp-otc-2491","ot","0","2","2"
"person-002741","特哈拿","","Tirhanah","male","accepted","ot-idgrp-otc-2492","ot","0","1","1"
"person-002742","提利","","Tiria","male","accepted","ot-idgrp-otc-2493","ot","0","1","1"
"person-002743","得撒","","Tirzah","female","accepted","ot-idgrp-otc-2494","ot","0","4","4"
"person-002744","驼·巴多尼雅","","Tobadonijah","male","accepted","ot-idgrp-otc-2495","ot","0","1","1"
"person-002745","多比雅","","Tobiah","male","accepted","ot-idgrp-otc-2496","ot","0","2","2"
"person-002746","多比雅","","Tobiah","male","accepted","ot-idgrp-otc-2497","ot","0","12","12"
"person-002747","多比雅","","Tobijah","male","accepted","ot-idgrp-otc-2498","ot","0","1","1"
"person-002748","多比雅","","Tobijah","male","accepted","ot-idgrp-otc-2499","ot","0","2","2"
"person-002749","陀迦玛","","Togarmah","male","accepted","ot-idgrp-otc-2500","ot","0","2","2"
"person-002750","托户","","Tohu","male","accepted","ot-idgrp-otc-2501","ot","0","3","3"
"person-002751","陀以","","Toi","male","accepted","ot-idgrp-otc-2502","ot","0","4","4"
"person-002752","陀拉","","Tola","male","accepted","ot-idgrp-otc-2503","ot","0","4","4"
"person-002753","陀拉","","Tola","male","accepted","ot-idgrp-otc-2504","ot","0","1","1"
"person-002754","土八·该隐","","Tubal-cain","male","accepted","ot-idgrp-otc-2505","ot","0","1","1"
"person-002755","土巴","","Tubal","male","accepted","ot-idgrp-otc-2506","ot","0","2","2"
"person-002756","乌甲","","Ucal","male","accepted","ot-idgrp-otc-2507","ot","0","1","1"
"person-002757","乌益","","Uel","male","accepted","ot-idgrp-otc-2508","ot","0","1","1"
"person-002758","乌兰","","Ulam","male","accepted","ot-idgrp-otc-2509","ot","0","2","2"
"person-002759","乌兰","","Ulam","male","accepted","ot-idgrp-otc-2510","ot","0","2","2"
"person-002760","乌尼","","Unni","male","accepted","ot-idgrp-otc-2511","ot","0","2","2"
"person-002761","乌尼","","Unni","male","accepted","ot-idgrp-otc-2512","ot","0","1","1"
"person-002762","吾珥","","Ur","male","accepted","ot-idgrp-otc-2513","ot","0","1","1"
"person-002763","乌利","","Uri","male","accepted","ot-idgrp-otc-2514","ot","0","1","1"
"person-002764","乌利","","Uri","male","accepted","ot-idgrp-otc-2515","ot","0","5","5"
"person-002765","乌利","","Uri","male","accepted","ot-idgrp-otc-2516","ot","0","1","1"
"person-002766","乌利亚","","Uriah","male","accepted","ot-idgrp-otc-2517","ot","0","5","5"
"person-002767","乌利亚","","Uriah","male","accepted","ot-idgrp-otc-2519","ot","0","3","3"
"person-002768","乌利亚","","Uriah","male","accepted","ot-idgrp-otc-2520","ot","0","3","3"
"person-002769","乌利亚","","Uriah","male","accepted","ot-idgrp-otc-2521","ot","0","1","1"
"person-002770","乌列","","Uriel","male","accepted","ot-idgrp-otc-2522","ot","0","2","2"
"person-002771","乌列","","Uriel","male","accepted","ot-idgrp-otc-2523","ot","0","2","2"
"person-002772","乌列","","Uriel","male","accepted","ot-idgrp-otc-2524","ot","0","1","1"
"person-002773","乌太","","Uthai","male","accepted","ot-idgrp-otc-2525","ot","0","1","1"
"person-002774","乌太","","Uthai","male","accepted","ot-idgrp-otc-2526","ot","0","1","1"
"person-002775","乌斯","","Uz","male","accepted","ot-idgrp-otc-2527","ot","0","2","2"
"person-002776","乌斯","","Uz","male","accepted","ot-idgrp-otc-2528","ot","0","1","1"
"person-002777","乌斯","","Uz","male","accepted","ot-idgrp-otc-2529","ot","0","2","2"
