name_id,person_id,name_text,language,source_scope,status
"name-0127","nt-people-0051","Barabbas","en","canonical","accepted"
"name-0128","nt-people-0051","Βαραββᾶς","en","canonical","accepted"
"name-0129","nt-people-0051","Ἰησοῦς","en","canonical","accepted"
"name-0130","nt-people-0052","Barak","en","canonical","accepted"
"name-0131","nt-people-0052","בָּרָק","en","canonical","pending"
"name-0132","nt-people-0052","בְּדָן","en","variant","pending"
"name-0133","nt-people-0052","Βαράκ","grc","alias","accepted"
"name-0134","nt-people-0053","Bar-jesus","en","canonical","accepted"
"name-0135","nt-people-0053","Βαριησοῦς","en","canonical","accepted"
"name-0136","nt-people-0053","Ἐλύμας","en","canonical","accepted"
"name-0137","nt-people-0054","Barnabas","en","canonical","accepted"
"name-0138","nt-people-0054","Βαρνάβας","en","canonical","accepted"
"name-0139","nt-people-0054","Ἰωσήφ","en","canonical","accepted"
"name-0140","nt-people-0054","Ἰωσῆς","en","variant","accepted"
"name-0141","nt-people-0055","Bartholomew","en","canonical","accepted"
"name-0142","nt-people-0055","Βαρθολομαῖος","en","canonical","accepted"
"name-0143","nt-people-0056","Bartimaeus","en","canonical","accepted"
"name-0144","nt-people-0056","Βαρτιμαῖος","en","canonical","accepted"
"name-0145","nt-people-0057","Benjamin","en","canonical","accepted"
"name-0146","nt-people-0057","בִּנְיָמִין","en","canonical","pending"
"name-0147","nt-people-0057","בֶּן־אוֹנִ֑י","en","canonical","pending"
"name-0148","nt-people-0057","יָמִין","en","canonical","pending"
"name-0149","nt-people-0057","בֶּן־יְמִינִי","en","alias","pending"
"name-0150","nt-people-0057","יְמִינִי","en","variant","pending"
"name-0151","nt-people-0057","יָֽמִינִי","en","variant","pending"
"name-0152","nt-people-0057","Βενιαμίν","grc","alias","accepted"
"name-0153","nt-people-0058","Beor","en","canonical","accepted"
"name-0154","nt-people-0058","בְּעוֹר","en","canonical","pending"
"name-0155","nt-people-0058","Βοσόρ, Βεώρ","grc","alias","accepted"
"name-0156","nt-people-0059","Bernice","en","canonical","accepted"
"name-0157","nt-people-0059","Βερνίκη","en","canonical","accepted"
"name-0158","nt-people-0060","Blastus","en","canonical","accepted"
"name-0159","nt-people-0060","Βλάστος","en","canonical","accepted"
"name-0160","nt-people-0061","Boaz","en","canonical","accepted"
"name-0161","nt-people-0061","בֹּ֫עַז","en","canonical","pending"
"name-0162","nt-people-0061","Βοόζ","grc","alias","accepted"
"name-0163","nt-people-0062","Caiaphas","en","canonical","accepted"
"name-0164","nt-people-0062","Καϊάφας","en","canonical","accepted"
"name-0165","nt-people-0063","Cain","en","canonical","accepted"
"name-0166","nt-people-0063","קַ֫יִן","en","canonical","pending"
"name-0167","nt-people-0063","Κάϊν","grc","alias","accepted"
"name-0168","nt-people-0064","Cainan","en","canonical","accepted"
"name-0169","nt-people-0064","Καϊνάν, Καϊνάμ","en","canonical","accepted"
"name-0170","nt-people-0065","Carpus","en","canonical","accepted"
"name-0171","nt-people-0065","Κάρπος","en","canonical","accepted"
"name-0172","nt-people-0066","Chloe","en","canonical","accepted"
"name-0173","nt-people-0066","Χλόη","en","canonical","accepted"
"name-0174","nt-people-0067","Chuza","en","canonical","accepted"
"name-0175","nt-people-0067","Χουζᾶς","en","canonical","accepted"
"name-0176","nt-people-0068","Claudia","en","canonical","accepted"
"name-0177","nt-people-0068","Κλαυδία","en","canonical","accepted"
"name-0178","nt-people-0069","Claudius","en","canonical","accepted"
"name-0179","nt-people-0069","Κλαύδιος","en","canonical","accepted"
"name-0180","nt-people-0069","Καῖσαρ","en","canonical","accepted"
"name-0181","nt-people-0070","Clement","en","canonical","accepted"
"name-0182","nt-people-0070","Κλήμης","en","canonical","accepted"
"name-0183","nt-people-0071","Cornelius","en","canonical","accepted"
"name-0184","nt-people-0071","Κορνήλιος","en","canonical","accepted"
"name-0185","nt-people-0072","Cosam","en","canonical","accepted"
"name-0186","nt-people-0072","Κωσάμ","en","canonical","accepted"
"name-0187","nt-people-0073","Crescens","en","canonical","accepted"
"name-0188","nt-people-0073","Κρήσκης","en","canonical","accepted"
