source_id,short_name,license,edition,language,scope
"source:0001","SBLGNT","cc_by_4.0","SBLGNT 1.2","grc","nt"
"source:0002","STEPBible Proper Names","cc_by_4.0","STEPBible Proper Names (TIPNR snapshot)","eng","bible"
"source:0003","CCV Chinese Names (CUV)","public_domain","CUV simplified USFM","zh-hans","reference"
"source:0004","Josephus, Jewish Antiquities","public_domain","William Whiston English translation, Perseus Digital Library","eng","nt+history"
"source:0005","STEPBible TAHOT/TOTHT","cc_by_4.0","STEPBible Hebrew Proper Names (TAHOT/TOTHT, TIPNR-linked)","eng","ot"
"source:0006","Josephus, Jewish Antiquities (full text)","public_domain","Project Gutenberg eBook 2848, William Whiston translation","eng","history"
"source:0007","Philo (Yonge translation)","public_domain","Bohn 1854-55, Charles Duke Yonge translation, four volumes","eng","history"
"source:0008","Lexham Bible Dictionary","proprietary_restricted","Lexham Press 2016, official Logos product 36564","eng","bible"
"source:0009","Anchor Yale Bible Dictionary","proprietary_restricted","Anchor Yale Bible Dictionary (1992, 6 vols)","eng","bible"
