assertion_id,subject_person_id,object_person_id,relation_type,relation_subtype,direction,status,confidence,editorial_status
"asrt-0529","nt-people-0333","nt-people-0251","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0530","nt-people-0333","nt-people-0342","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0531","nt-people-0334","nt-people-0288","kinship","parent","directed","inactive","0.8","pending"
"asrt-0532","nt-people-0269","nt-people-0342","kinship","child","directed","inactive","0.8","pending"
"asrt-0533","nt-people-0369","nt-people-0342","kinship","child","directed","inactive","0.8","pending"
"asrt-0534","nt-people-0342","nt-people-0184","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0535","nt-people-0342","nt-people-0098","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0536","nt-people-0343","nt-people-0246","kinship","parent","directed","inactive","0.8","pending"
"asrt-0537","nt-people-0007","nt-people-0343","kinship","child","directed","inactive","0.8","pending"
"asrt-0538","nt-people-0309","nt-people-0343","kinship","child","directed","inactive","0.8","pending"
"asrt-0539","nt-people-0056","nt-people-0350","kinship","child","directed","inactive","0.8","pending"
"asrt-0540","nt-people-0352","nt-people-0103","kinship","parent","directed","inactive","0.8","pending"
"asrt-0541","nt-people-0182","nt-people-0361","kinship","child","directed","inactive","0.8","pending"
"asrt-0542","nt-people-0363","nt-people-0048","kinship","parent","directed","inactive","0.8","pending"
"asrt-0543","nt-people-0009","nt-people-0363","kinship","child","directed","inactive","0.8","pending"
"asrt-0544","nt-people-0143","nt-people-0364","kinship","child","directed","inactive","0.8","pending"
"asrt-0545","nt-people-0166","nt-people-0364","kinship","child","directed","inactive","0.8","pending"
"asrt-0546","nt-people-0364","nt-people-0305","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0547","nt-people-0365","nt-people-0135","kinship","parent","directed","inactive","0.8","pending"
"asrt-0548","nt-people-0365","nt-people-0297","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0549","nt-people-0365","nt-people-0325","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0550","nt-people-0365","nt-people-0204","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0551","nt-people-0365","nt-people-0184","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0552","nt-people-0365","nt-people-0249","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0553","nt-people-0365","nt-people-0110","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0554","nt-people-0365","nt-people-0045","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0555","nt-people-0365","nt-people-0136","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0556","nt-people-0365","nt-people-0176","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0557","nt-people-0365","nt-people-0057","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0558","nt-people-0367","nt-people-0150","kinship","parent","directed","inactive","0.8","pending"
"asrt-0559","nt-people-0166","nt-people-0367","kinship","child","directed","inactive","0.8","pending"
"asrt-0560","nt-people-0367","nt-people-0091","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0561","nt-people-0369","nt-people-0184","kinship","parent","directed","inactive","0.8","pending"
"asrt-0562","nt-people-0369","nt-people-0342","kinship","parent","directed","inactive","0.8","pending"
"asrt-0563","nt-people-0369","nt-people-0098","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0564","nt-people-0369","nt-people-0319","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0565","nt-people-0369","nt-people-0269","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0566","nt-people-0006","nt-people-0371","kinship","child","directed","inactive","0.8","pending"
"asrt-0567","nt-people-0371","nt-people-0318","kinship","parent","directed","inactive","0.8","pending"
"asrt-0568","nt-people-0298","nt-people-0371","kinship","child","directed","inactive","0.8","pending"
